#Code,Azimuth,Elevation,Calibration
54866,-4.61,69.66,1
54869,0,69.73,1
54872,4.61,69.66,1
54875,9.15,69.46,1
54878,13.58,69.12,1
54881,17.84,68.66,1
54884,21.89,68.08,1
54887,25.71,67.39,1
54890,29.28,66.6,1
54893,32.6,65.72,1
54896,35.68,64.76,1
54899,38.51,63.73,1
54902,41.12,62.63,1
54905,43.51,61.47,1
54908,45.71,60.26,1
54911,47.73,59,1
54914,49.58,57.71,1
54917,51.28,56.37,1
54920,52.85,55,1
54923,54.28,53.6,1
54926,55.61,52.18,1
54929,-57.5,51.07,1
54932,-56.29,52.53,1
54935,-54.97,53.96,1
54938,-53.55,55.37,1
54941,-52,56.75,1
54944,-50.3,58.09,1
54947,-48.46,59.39,1
54950,-46.44,60.66,1
54953,-44.25,61.88,1
54956,-41.85,63.05,1
54959,-39.23,64.16,1
54962,-36.37,65.21,1
54965,-33.27,66.18,1
54968,-29.91,67.08,1
54971,-26.29,67.88,1
54974,-22.4,68.58,1
54977,-18.27,69.17,1
54980,-13.92,69.64,1
54983,-9.39,69.99,1
54986,-4.73,70.2,1
54989,0,70.27,1
54992,4.73,70.2,1
54995,9.39,69.99,1
54998,13.92,69.64,1
55001,18.27,69.17,1
55004,22.4,68.58,1
55007,26.29,67.88,1
55010,29.91,67.08,1
55013,33.27,66.18,1
55016,36.37,65.21,1
55019,39.23,64.16,1
55022,41.85,63.05,1
55025,44.25,61.88,1
55028,46.44,60.66,1
55031,48.46,59.39,1
55034,50.3,58.09,1
55037,52,56.75,1
55040,53.55,55.37,1
55043,54.97,53.96,1
55046,56.29,52.53,1
55049,57.5,51.07,1
55052,-59.28,49.93,1
55055,-58.18,51.42,1
55058,-56.98,52.88,1
55061,-55.68,54.32,1
55064,-54.27,55.73,1
55067,-52.72,57.11,1
55070,-51.04,58.46,1
55073,-49.21,59.78,1
55076,-47.2,61.05,1
55079,-45,62.28,1
55082,-42.6,63.46,1
55085,-39.97,64.59,1
55088,-37.1,65.65,1
55091,-33.97,66.64,1
55094,-30.57,67.55,1
55097,-26.89,68.36,1
55100,-22.94,69.08,1
55103,-18.72,69.68,1
55106,-14.28,70.16,1
55109,-9.63,70.51,1
55112,-4.85,70.73,1
55115,0,70.8,1
55118,4.85,70.73,1
55121,9.63,70.51,1
55124,14.28,70.16,1
55127,18.72,69.68,1
55130,22.94,69.08,1
55133,26.89,68.36,1
55136,30.57,67.55,1
55139,33.97,66.64,1
55142,37.1,65.65,1
55145,39.97,64.59,1
55148,42.6,63.46,1
55151,45,62.28,1
55154,47.2,61.05,1
55157,49.21,59.78,1
55160,51.04,58.46,1
55163,52.72,57.11,1
55166,54.27,55.73,1
55169,55.68,54.32,1
55172,56.98,52.88,1
55175,58.18,51.42,1
55178,59.28,49.93,1
55181,-59.96,50.26,1
55184,-58.87,51.75,1
55187,-57.69,53.22,1
55190,-56.4,54.66,1
55193,-55,56.08,1
55196,-53.47,57.47,1
55199,-51.8,58.83,1
55202,-49.97,60.16,1
55205,-47.97,61.44,1
55208,-45.78,62.68,1
55211,-43.37,63.88,1
55214,-40.74,65.01,1
55217,-37.85,66.09,1
55220,-34.69,67.09,1
55223,-31.25,68.01,1
55226,-27.52,68.84,1
55229,-23.5,69.57,1
55232,-19.2,70.19,1
55235,-14.65,70.68,1
55238,-9.89,71.04,1
55241,-4.99,71.26,1
55244,0,71.33,1
55247,4.99,71.26,1
55250,9.89,71.04,1
55253,14.65,70.68,1
55256,19.2,70.19,1
55259,23.5,69.57,1
55262,27.52,68.84,1
55265,31.25,68.01,1
55268,34.69,67.09,1
55271,37.85,66.09,1
55274,40.74,65.01,1
55277,43.37,63.88,1
55280,45.78,62.68,1
55283,47.97,61.44,1
55286,49.97,60.16,1
55289,51.8,58.83,1
55292,53.47,57.47,1
55295,55,56.08,1
55298,56.4,54.66,1
55301,57.69,53.22,1
55304,58.87,51.75,1
55307,59.96,50.26,1
55310,-59.57,52.08,1
55313,-58.41,53.55,1
55316,-57.14,55,1
55319,-55.75,56.43,1
55322,-54.23,57.83,1
55325,-52.58,59.19,1
55328,-50.76,60.53,1
55331,-48.77,61.82,1
55334,-46.58,63.08,1
55337,-44.17,64.28,1
55340,-41.53,65.43,1
55343,-38.63,66.52,1
55346,-35.45,67.54,1
55349,-31.97,68.48,1
55352,-28.18,69.32,1
55355,-24.09,70.07,1
55358,-19.71,70.7,1
55361,-15.05,71.2,1
55364,-10.17,71.57,1
55367,-5.13,71.79,1
55370,0,71.87,1
55373,5.13,71.79,1
55376,10.17,71.57,1
55379,15.05,71.2,1
55382,19.71,70.7,1
55385,24.09,70.07,1
55388,28.18,69.32,1
55391,31.97,68.48,1
55394,35.45,67.54,1
55397,38.63,66.52,1
55400,41.53,65.43,1
55403,44.17,64.28,1
55406,46.58,63.08,1
55409,48.77,61.82,1
55412,50.76,60.53,1
55415,52.58,59.19,1
55418,54.23,57.83,1
55421,55.75,56.43,1
55424,57.14,55,1
55427,58.41,53.55,1
55430,59.57,52.08,1
55433,-60.29,52.4,1
55436,-59.14,53.88,1
55439,-57.89,55.33,1
55442,-56.52,56.77,1
55445,-55.02,58.17,1
55448,-53.37,59.55,1
55451,-51.57,60.89,1
55454,-49.59,62.2,1
55457,-47.4,63.46,1
55460,-45,64.68,1
55463,-42.35,65.85,1
55466,-39.44,66.95,1
55469,-36.23,67.99,1
55472,-32.72,68.94,1
55475,-28.88,69.8,1
55478,-24.72,70.56,1
55481,-20.24,71.2,1
55484,-15.47,71.72,1
55487,-10.46,72.09,1
55490,-5.28,72.32,1
55493,0,72.4,1
55496,5.28,72.32,1
55499,10.46,72.09,1
55502,15.47,71.72,1
55505,20.24,71.2,1
55508,24.72,70.56,1
55511,28.88,69.8,1
55514,32.72,68.94,1
55517,36.23,67.99,1
55520,39.44,66.95,1
55523,42.35,65.85,1
55526,45,64.68,1
55529,47.4,63.46,1
55532,49.59,62.2,1
55535,51.57,60.89,1
55538,53.37,59.55,1
55541,55.02,58.17,1
55544,56.52,56.77,1
55547,57.89,55.33,1
55550,59.14,53.88,1
55553,60.29,52.4,1
55556,-61.02,52.72,1
55559,-59.89,54.2,1
55562,-58.65,55.66,1
55565,-57.3,57.1,1
55568,-55.81,58.51,1
55571,-54.19,59.9,1
55574,-52.4,61.25,1
55577,-50.43,62.57,1
55580,-48.25,63.85,1
55583,-45.85,65.08,1
55586,-43.2,66.26,1
55589,-40.28,67.38,1
55592,-37.05,68.43,1
55595,-33.5,69.39,1
55598,-29.61,70.27,1
55601,-25.37,71.05,1
55604,-20.8,71.7,1
55607,-15.91,72.23,1
55610,-10.77,72.62,1
55613,-5.43,72.85,1
55616,0,72.93,1
55619,5.43,72.85,1
55622,10.77,72.62,1
55625,15.91,72.23,1
55628,20.8,71.7,1
55631,25.37,71.05,1
55634,29.61,70.27,1
55637,33.5,69.39,1
55640,37.05,68.43,1
55643,40.28,67.38,1
55646,43.2,66.26,1
55649,45.85,65.08,1
55652,48.25,63.85,1
55655,50.43,62.57,1
55658,52.4,61.25,1
55661,54.19,59.9,1
55664,55.81,58.51,1
55667,57.3,57.1,1
55670,58.65,55.66,1
55673,59.89,54.2,1
55676,61.02,52.72,1
55679,-61.76,53.02,1
55682,-60.65,54.51,1
55685,-59.43,55.98,1
55688,-58.1,57.42,1
55691,-56.63,58.84,1
55694,-55.02,60.24,1
55697,-53.25,61.6,1
55700,-51.29,62.93,1
55703,-49.13,64.22,1
55706,-46.74,65.47,1
55709,-44.09,66.66,1
55712,-41.15,67.79,1
55715,-37.9,68.86,1
55718,-34.32,69.85,1
55721,-30.37,70.74,1
55724,-26.06,71.53,1
55727,-21.39,72.2,1
55730,-16.39,72.75,1
55733,-11.1,73.14,1
55736,-5.6,73.38,1
55739,0,73.47,1
55742,5.6,73.38,1
55745,11.1,73.14,1
55748,16.39,72.75,1
55751,21.39,72.2,1
55754,26.06,71.53,1
55757,30.37,70.74,1
55760,34.32,69.85,1
55763,37.9,68.86,1
55766,41.15,67.79,1
55769,44.09,66.66,1
55772,46.74,65.47,1
55775,49.13,64.22,1
55778,51.29,62.93,1
55781,53.25,61.6,1
